D,L,kappa,lambda,min_nstep,max_nstep,d_nstep,tlength,ntherm,ntraj,naccu
3,4,1.500000e-01,1.145000e+00,10,50,2,1.000000e+00,1000,10000,100

dtau,dtau2,deltaH
2.272727e-02,5.165289e-04,4.694129e-03
2.272727e-02,5.165289e-04,5.436757e-03
2.272727e-02,5.165289e-04,5.789460e-03
2.272727e-02,5.165289e-04,5.236346e-03
2.272727e-02,5.165289e-04,5.561855e-03
2.272727e-02,5.165289e-04,5.516836e-03
2.272727e-02,5.165289e-04,4.951366e-03
2.272727e-02,5.165289e-04,6.061346e-03
2.272727e-02,5.165289e-04,6.196846e-03
2.272727e-02,5.165289e-04,5.169720e-03
2.272727e-02,5.165289e-04,6.129235e-03
2.272727e-02,5.165289e-04,5.493508e-03
2.272727e-02,5.165289e-04,5.422189e-03
2.272727e-02,5.165289e-04,5.237466e-03
2.272727e-02,5.165289e-04,5.402865e-03
2.272727e-02,5.165289e-04,5.845820e-03
2.272727e-02,5.165289e-04,5.441357e-03
2.272727e-02,5.165289e-04,5.870185e-03
2.272727e-02,5.165289e-04,5.342775e-03
2.272727e-02,5.165289e-04,5.307405e-03
2.272727e-02,5.165289e-04,5.793500e-03
2.272727e-02,5.165289e-04,5.459303e-03
2.272727e-02,5.165289e-04,5.797690e-03
2.272727e-02,5.165289e-04,5.410018e-03
2.272727e-02,5.165289e-04,5.080857e-03
2.272727e-02,5.165289e-04,5.122927e-03
2.272727e-02,5.165289e-04,5.715867e-03
2.272727e-02,5.165289e-04,5.443035e-03
2.272727e-02,5.165289e-04,6.016327e-03
2.272727e-02,5.165289e-04,4.787302e-03
2.272727e-02,5.165289e-04,5.925724e-03
2.272727e-02,5.165289e-04,5.878356e-03
2.272727e-02,5.165289e-04,4.895107e-03
2.272727e-02,5.165289e-04,5.175093e-03
2.272727e-02,5.165289e-04,5.196352e-03
2.272727e-02,5.165289e-04,5.375477e-03
2.272727e-02,5.165289e-04,5.988306e-03
2.272727e-02,5.165289e-04,5.124767e-03
