D,L,kappa,lambda,min_nstep,max_nstep,d_nstep,tlength,ntherm,ntraj,naccu
3,4,1.816900e-01,1.328200e+00,5,50,5,1.000000e+00,5000,100000,1000

dtau,dtau2,m2
2.857143e-02,8.163265e-04,1.258298e+01
2.857143e-02,8.163265e-04,1.033286e+01
2.857143e-02,8.163265e-04,1.644432e+01
2.857143e-02,8.163265e-04,1.252403e+01
2.857143e-02,8.163265e-04,1.842887e+01
2.857143e-02,8.163265e-04,1.510135e+01
2.857143e-02,8.163265e-04,1.410088e+01
2.857143e-02,8.163265e-04,1.435401e+01
2.857143e-02,8.163265e-04,1.284744e+01
2.857143e-02,8.163265e-04,1.551744e+01
2.857143e-02,8.163265e-04,1.205172e+01
2.857143e-02,8.163265e-04,1.557124e+01
2.857143e-02,8.163265e-04,1.462074e+01
2.857143e-02,8.163265e-04,1.252574e+01
2.857143e-02,8.163265e-04,1.149534e+01
2.857143e-02,8.163265e-04,1.780126e+01
2.857143e-02,8.163265e-04,1.164312e+01
2.857143e-02,8.163265e-04,1.333664e+01
2.857143e-02,8.163265e-04,1.414918e+01
2.857143e-02,8.163265e-04,1.393375e+01
2.857143e-02,8.163265e-04,1.036593e+01
2.857143e-02,8.163265e-04,1.517255e+01
2.857143e-02,8.163265e-04,1.295546e+01
2.857143e-02,8.163265e-04,1.292894e+01
2.857143e-02,8.163265e-04,1.200527e+01
2.857143e-02,8.163265e-04,1.358642e+01
2.857143e-02,8.163265e-04,1.559067e+01
2.857143e-02,8.163265e-04,1.610106e+01
2.857143e-02,8.163265e-04,1.087439e+01
2.857143e-02,8.163265e-04,1.362119e+01
2.857143e-02,8.163265e-04,1.275753e+01
2.857143e-02,8.163265e-04,1.221437e+01
2.857143e-02,8.163265e-04,1.736314e+01
2.857143e-02,8.163265e-04,1.291721e+01
2.857143e-02,8.163265e-04,1.737054e+01
2.857143e-02,8.163265e-04,1.591099e+01
2.857143e-02,8.163265e-04,1.178967e+01
2.857143e-02,8.163265e-04,1.599710e+01
2.857143e-02,8.163265e-04,1.508663e+01
2.857143e-02,8.163265e-04,1.394276e+01
2.857143e-02,8.163265e-04,1.339142e+01
3.333333e-02,1.111111e-03,1.376018e+01
3.333333e-02,1.111111e-03,1.548863e+01
3.333333e-02,1.111111e-03,1.367845e+01
3.333333e-02,1.111111e-03,1.498434e+01
3.333333e-02,1.111111e-03,1.390159e+01
3.333333e-02,1.111111e-03,1.295856e+01
3.333333e-02,1.111111e-03,1.574054e+01
3.333333e-02,1.111111e-03,1.012782e+01
3.333333e-02,1.111111e-03,1.082925e+01
3.333333e-02,1.111111e-03,1.612298e+01
3.333333e-02,1.111111e-03,1.457784e+01
3.333333e-02,1.111111e-03,1.117643e+01
