alpha_s,top_quark_mass,energy,upper_bound_inc,upper_bound_dec
0.118,172.5,6500,0.1,0.05

theta,x1,x2
0.708198,0.0505088,0.0196608
0.235885,0.0214414,0.0468834
0.769539,0.0238614,0.0704252
0.105368,0.0492685,0.0389031
0.207623,0.0235512,0.105079
0.355479,0.0469043,0.0243174
0.86537,0.0547438,0.0439861
0.907099,0.0823237,0.0312139
0.860116,0.0260763,0.0453276
0.304795,0.105175,0.0252941
0.749629,0.0343474,0.0480022
0.627784,0.0858937,0.113698
0.414022,0.0865312,0.012311
0.927884,0.0375084,0.0895147
0.262883,0.0156053,0.113699
0.093817,0.112713,0.0136047
0.331369,0.0987862,0.0255702
0.885594,0.0806616,0.0209182
0.727534,0.0295032,0.0275788
0.927154,0.134641,0.0136768
0.647394,0.0981856,0.0280775
0.305234,0.0177152,0.199868
0.641643,0.132547,0.0195771
0.351718,0.0529966,0.0266458
0.685205,0.0518914,0.0345536
0.573654,0.0770162,0.0257465
0.136276,0.0138132,0.0654696
0.0696706,0.0332723,0.0620499
0.926946,0.0498001,0.0360544
0.901515,0.0371525,0.056969
0.24848,0.0487533,0.0448155
0.23953,0.033982,0.0467733
0.20453,0.0431699,0.0331381
0.425625,0.0403774,0.0419669
0.134961,0.0536704,0.0333213
0.472965,0.0248031,0.171137
0.649329,0.0404329,0.0606199
0.450976,0.0361437,0.0464903
0.636345,0.0172441,0.0512485
0.356106,0.0363383,0.03303
0.142906,0.0259982,0.0607971
0.0562073,0.0583611,0.0498814
0.93559,0.0927559,0.174425
0.400575,0.0197396,0.0372882
0.490307,0.111432,0.0259521
0.927881,0.0130316,0.0849212
0.442781,0.0677875,0.0141491
0.680609,0.0449166,0.0781111
0.670957,0.210886,0.0165867
0.484745,0.0590227,0.0189594
0.754757,0.0462804,0.0229933
0.607838,0.0458414,0.026881
0.276458,0.017898,0.0422005
0.0746746,0.0237047,0.0783932
0.228969,0.0499456,0.0201283
0.71879,0.017591,0.0428333
0.812746,0.061015,0.0132774
0.076456,0.0113589,0.128069
0.708953,0.0189229,0.0576361
0.811015,0.0198192,0.104003
0.844688,0.0658595,0.0141142
0.569944,0.0958447,0.020798
0.699049,0.0234332,0.0442459
0.216093,0.0450578,0.0480392
0.924363,0.073306,0.104487
0.240474,0.0398564,0.0869062
0.177398,0.073464,0.0161387
0.63343,0.0284552,0.0461261
0.665195,0.0453347,0.0171359
0.473309,0.0194561,0.059716
0.29045,0.0260095,0.0753803
0.811422,0.0967749,0.0207773
0.168663,0.033545,0.0562201
0.363302,0.129333,0.0127456
0.58334,0.0762863,0.0132953
0.271061,0.0379053,0.0482768
0.89885,0.0379287,0.0882204
0.230987,0.0550506,0.0177721
0.696731,0.0335623,0.0231724
0.790443,0.0335109,0.0842029
0.854965,0.0925119,0.0841775
0.671359,0.0365533,0.0209387
